Track 7:
<meta message midi_port port=0 time=0>
program_change channel=5 program=66 time=0
control_change channel=5 control=7 value=127 time=0
control_change channel=5 control=10 value=64 time=0
control_change channel=5 control=121 value=0 time=9
control_change channel=5 control=101 value=0 time=33
control_change channel=5 control=100 value=0 time=0
control_change channel=5 control=6 value=12 time=0
control_change channel=5 control=38 value=0 time=0
control_change channel=5 control=93 value=18 time=2
control_change channel=5 control=91 value=102 time=1
control_change channel=5 control=11 value=90 time=8327
note_on channel=5 note=51 velocity=121 time=1
control_change channel=5 control=11 value=103 time=1
control_change channel=5 control=11 value=111 time=2
control_change channel=5 control=11 value=117 time=4
control_change channel=5 control=11 value=122 time=4
control_change channel=5 control=11 value=125 time=4
control_change channel=5 control=11 value=124 time=2
control_change channel=5 control=11 value=127 time=2
control_change channel=5 control=11 value=126 time=4
control_change channel=5 control=11 value=124 time=6
control_change channel=5 control=11 value=122 time=2
control_change channel=5 control=11 value=118 time=2
control_change channel=5 control=11 value=114 time=2
control_change channel=5 control=11 value=111 time=2
control_change channel=5 control=11 value=108 time=2
control_change channel=5 control=11 value=101 time=2
control_change channel=5 control=11 value=97 time=2
control_change channel=5 control=11 value=96 time=2
control_change channel=5 control=11 value=92 time=2
control_change channel=5 control=11 value=90 time=2
control_change channel=5 control=11 value=87 time=2
control_change channel=5 control=11 value=84 time=2
control_change channel=5 control=11 value=79 time=2
control_change channel=5 control=11 value=75 time=2
note_on channel=5 note=52 velocity=107 time=2
control_change channel=5 control=11 value=74 time=0
note_on channel=5 note=51 velocity=0 time=1
control_change channel=5 control=11 value=67 time=1
control_change channel=5 control=11 value=62 time=2
control_change channel=5 control=11 value=48 time=2
control_change channel=5 control=11 value=45 time=4
control_change channel=5 control=11 value=44 time=4
control_change channel=5 control=11 value=43 time=24
control_change channel=5 control=11 value=41 time=2
control_change channel=5 control=11 value=40 time=4
control_change channel=5 control=11 value=39 time=2
control_change channel=5 control=11 value=37 time=6
note_on channel=5 note=52 velocity=0 time=6
control_change channel=5 control=11 value=32 time=14
control_change channel=5 control=11 value=107 time=248
control_change channel=5 control=11 value=109 time=2
control_change channel=5 control=11 value=112 time=2
note_on channel=5 note=54 velocity=121 time=4
control_change channel=5 control=11 value=114 time=0
control_change channel=5 control=11 value=120 time=2
control_change channel=5 control=11 value=122 time=2
control_change channel=5 control=11 value=124 time=2
control_change channel=5 control=11 value=125 time=2
control_change channel=5 control=11 value=126 time=4
control_change channel=5 control=11 value=127 time=4
control_change channel=5 control=11 value=126 time=12
control_change channel=5 control=11 value=125 time=4
control_change channel=5 control=11 value=122 time=2
control_change channel=5 control=11 value=121 time=2
control_change channel=5 control=11 value=120 time=4
control_change channel=5 control=11 value=118 time=2
control_change channel=5 control=11 value=117 time=2
control_change channel=5 control=11 value=113 time=2
control_change channel=5 control=11 value=109 time=2
control_change channel=5 control=11 value=107 time=2
control_change channel=5 control=11 value=99 time=2
control_change channel=5 control=11 value=91 time=2
control_change channel=5 control=11 value=80 time=2
control_change channel=5 control=11 value=77 time=2
note_on channel=5 note=55 velocity=106 time=1
control_change channel=5 control=11 value=71 time=1
control_change channel=5 control=11 value=65 time=2
note_on channel=5 note=54 velocity=0 time=2
control_change channel=5 control=11 value=61 time=0
control_change channel=5 control=11 value=60 time=2
control_change channel=5 control=11 value=57 time=4
control_change channel=5 control=11 value=54 time=2
control_change channel=5 control=11 value=52 time=6
control_change channel=5 control=11 value=50 time=20
control_change channel=5 control=11 value=49 time=2
control_change channel=5 control=11 value=48 time=2
control_change channel=5 control=11 value=47 time=4
control_change channel=5 control=11 value=45 time=2
control_change channel=5 control=11 value=44 time=2
control_change channel=5 control=11 value=43 time=4
control_change channel=5 control=11 value=41 time=2
note_on channel=5 note=55 velocity=0 time=2
control_change channel=5 control=11 value=100 time=264
note_on channel=5 note=51 velocity=119 time=1
control_change channel=5 control=11 value=104 time=1
control_change channel=5 control=11 value=107 time=2
control_change channel=5 control=11 value=111 time=2
control_change channel=5 control=11 value=114 time=4
control_change channel=5 control=11 value=117 time=2
control_change channel=5 control=11 value=120 time=2
control_change channel=5 control=11 value=121 time=2
control_change channel=5 control=11 value=122 time=2
control_change channel=5 control=11 value=123 time=4
control_change channel=5 control=11 value=124 time=2
control_change channel=5 control=11 value=122 time=10
control_change channel=5 control=11 value=120 time=4
control_change channel=5 control=11 value=118 time=4
control_change channel=5 control=11 value=117 time=2
control_change channel=5 control=11 value=116 time=2
control_change channel=5 control=11 value=114 time=2
control_change channel=5 control=11 value=112 time=2
control_change channel=5 control=11 value=105 time=2
control_change channel=5 control=11 value=97 time=2
control_change channel=5 control=11 value=96 time=2
note_on channel=5 note=52 velocity=102 time=1
note_on channel=5 note=51 velocity=0 time=1
control_change channel=5 control=11 value=90 time=0
control_change channel=5 control=11 value=83 time=2
control_change channel=5 control=11 value=80 time=2
control_change channel=5 control=11 value=78 time=2
control_change channel=5 control=11 value=71 time=2
control_change channel=5 control=11 value=67 time=4
control_change channel=5 control=11 value=65 time=4
control_change channel=5 control=11 value=62 time=4
control_change channel=5 control=11 value=60 time=6
control_change channel=5 control=11 value=56 time=8
control_change channel=5 control=11 value=54 time=2
control_change channel=5 control=11 value=52 time=4
control_change channel=5 control=11 value=48 time=4
note_on channel=5 note=52 velocity=0 time=11
control_change channel=5 control=11 value=100 time=71
note_on channel=5 note=54 velocity=119 time=4
control_change channel=5 control=11 value=111 time=2
control_change channel=5 control=11 value=113 time=2
control_change channel=5 control=11 value=116 time=2
control_change channel=5 control=11 value=117 time=2
control_change channel=5 control=11 value=121 time=2
control_change channel=5 control=11 value=124 time=2
control_change channel=5 control=11 value=126 time=4
control_change channel=5 control=11 value=127 time=16
control_change channel=5 control=11 value=126 time=6
control_change channel=5 control=11 value=124 time=4
control_change channel=5 control=11 value=121 time=4
control_change channel=5 control=11 value=120 time=2
control_change channel=5 control=11 value=116 time=2
control_change channel=5 control=11 value=113 time=2
control_change channel=5 control=11 value=108 time=2
control_change channel=5 control=11 value=107 time=2
control_change channel=5 control=11 value=99 time=2
control_change channel=5 control=11 value=94 time=2
control_change channel=5 control=11 value=91 time=2
note_on channel=5 note=55 velocity=107 time=2
control_change channel=5 control=11 value=88 time=0
note_on channel=5 note=54 velocity=0 time=1
control_change channel=5 control=11 value=84 time=1
control_change channel=5 control=11 value=83 time=2
control_change channel=5 control=11 value=78 time=2
control_change channel=5 control=11 value=77 time=2
control_change channel=5 control=11 value=75 time=2
control_change channel=5 control=11 value=74 time=2
control_change channel=5 control=11 value=71 time=6
control_change channel=5 control=11 value=70 time=2
control_change channel=5 control=11 value=66 time=4
control_change channel=5 control=11 value=64 time=2
control_change channel=5 control=11 value=63 time=2
control_change channel=5 control=11 value=62 time=2
control_change channel=5 control=11 value=61 time=2
control_change channel=5 control=11 value=60 time=12
control_change channel=5 control=11 value=58 time=4
control_change channel=5 control=11 value=57 time=4
note_on channel=5 note=55 velocity=0 time=3
control_change channel=5 control=11 value=56 time=1
note_on channel=5 note=60 velocity=112 time=75
control_change channel=5 control=11 value=91 time=1
control_change channel=5 control=11 value=107 time=2
control_change channel=5 control=11 value=111 time=4
control_change channel=5 control=11 value=114 time=4
control_change channel=5 control=11 value=118 time=4
control_change channel=5 control=11 value=121 time=2
control_change channel=5 control=11 value=122 time=4
control_change channel=5 control=11 value=120 time=22
control_change channel=5 control=11 value=117 time=2
control_change channel=5 control=11 value=114 time=2
control_change channel=5 control=11 value=113 time=2
control_change channel=5 control=11 value=108 time=2
control_change channel=5 control=11 value=103 time=2
control_change channel=5 control=11 value=97 time=2
control_change channel=5 control=11 value=92 time=4
note_on channel=5 note=59 velocity=106 time=2
control_change channel=5 control=11 value=90 time=0
note_on channel=5 note=60 velocity=0 time=2
control_change channel=5 control=11 value=84 time=4
control_change channel=5 control=11 value=77 time=2
control_change channel=5 control=11 value=75 time=2
control_change channel=5 control=11 value=71 time=2
control_change channel=5 control=11 value=69 time=2
control_change channel=5 control=11 value=67 time=6
control_change channel=5 control=11 value=65 time=6
control_change channel=5 control=11 value=64 time=6
control_change channel=5 control=11 value=62 time=4
control_change channel=5 control=11 value=61 time=4
control_change channel=5 control=11 value=58 time=6
note_on channel=5 note=59 velocity=0 time=5
note_on channel=5 note=52 velocity=112 time=66
control_change channel=5 control=11 value=83 time=5
control_change channel=5 control=11 value=88 time=2
control_change channel=5 control=11 value=96 time=2
control_change channel=5 control=11 value=101 time=2
control_change channel=5 control=11 value=105 time=2
control_change channel=5 control=11 value=107 time=2
control_change channel=5 control=11 value=109 time=2
control_change channel=5 control=11 value=112 time=2
control_change channel=5 control=11 value=113 time=2
control_change channel=5 control=11 value=114 time=4
control_change channel=5 control=11 value=117 time=2
control_change channel=5 control=11 value=118 time=2
control_change channel=5 control=11 value=120 time=2
control_change channel=5 control=11 value=117 time=12
control_change channel=5 control=11 value=116 time=2
control_change channel=5 control=11 value=113 time=2
control_change channel=5 control=11 value=111 time=2
control_change channel=5 control=11 value=107 time=2
control_change channel=5 control=11 value=103 time=2
control_change channel=5 control=11 value=100 time=2
note_on channel=5 note=52 velocity=0 time=1
control_change channel=5 control=11 value=96 time=13
note_on channel=5 note=55 velocity=112 time=2
control_change channel=5 control=11 value=94 time=0
control_change channel=5 control=11 value=91 time=2
control_change channel=5 control=11 value=90 time=2
control_change channel=5 control=11 value=87 time=2
control_change channel=5 control=11 value=86 time=2
control_change channel=5 control=11 value=84 time=2
control_change channel=5 control=11 value=80 time=4
control_change channel=5 control=11 value=79 time=2
control_change channel=5 control=11 value=77 time=2
control_change channel=5 control=11 value=73 time=6
control_change channel=5 control=11 value=69 time=4
control_change channel=5 control=11 value=67 time=6
control_change channel=5 control=11 value=64 time=6
control_change channel=5 control=11 value=62 time=2
control_change channel=5 control=11 value=58 time=4
control_change channel=5 control=11 value=57 time=4
note_on channel=5 note=55 velocity=0 time=6
control_change channel=5 control=11 value=56 time=8
control_change channel=5 control=11 value=54 time=2
control_change channel=5 control=11 value=109 time=38
note_on channel=5 note=59 velocity=114 time=1
control_change channel=5 control=11 value=112 time=1
control_change channel=5 control=11 value=113 time=2
control_change channel=5 control=11 value=114 time=2
control_change channel=5 control=11 value=116 time=2
control_change channel=5 control=11 value=117 time=2
control_change channel=5 control=11 value=120 time=2
