Track 6:
<meta message midi_port port=0 time=0>
note_on channel=4 note=72 velocity=56 time=4
note_on channel=4 note=61 velocity=96 time=2
note_on channel=4 note=74 velocity=0 time=3
note_on channel=4 note=60 velocity=93 time=164
note_on channel=4 note=61 velocity=0 time=12
note_on channel=4 note=71 velocity=58 time=182
note_on channel=4 note=59 velocity=85 time=10
note_on channel=4 note=60 velocity=0 time=1
note_on channel=4 note=40 velocity=75 time=3
note_on channel=4 note=47 velocity=72 time=5
note_on channel=4 note=72 velocity=0 time=5
note_on channel=4 note=35 velocity=0 time=5
note_on channel=4 note=54 velocity=0 time=3
note_on channel=4 note=71 velocity=0 time=177
note_on channel=4 note=52 velocity=88 time=168
note_on channel=4 note=47 velocity=0 time=2
note_on channel=4 note=54 velocity=90 time=379
note_on channel=4 note=52 velocity=0 time=13
note_on channel=4 note=55 velocity=96 time=374
note_on channel=4 note=54 velocity=0 time=2
note_on channel=4 note=59 velocity=0 time=208
note_on channel=4 note=55 velocity=0 time=164
note_on channel=4 note=40 velocity=0 time=7
control_change channel=4 control=1 value=0 time=17684
control_change channel=4 control=1 value=0 time=48
control_change channel=4 control=1 value=0 time=48
control_change channel=4 control=1 value=0 time=48
control_change channel=4 control=1 value=0 time=48
control_change channel=4 control=1 value=0 time=48
control_change channel=4 control=1 value=0 time=48
control_change channel=4 control=1 value=0 time=48
control_change channel=4 control=1 value=0 time=48
control_change channel=4 control=1 value=0 time=48
control_change channel=4 control=1 value=0 time=48
control_change channel=4 control=1 value=0 time=48
control_change channel=4 control=1 value=0 time=48
control_change channel=4 control=1 value=0 time=48
control_change channel=4 control=1 value=0 time=48
control_change channel=4 control=1 value=0 time=48
<meta message end_of_track time=0>
